Market,Scenario,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Excluded Obs,Retained Obs,Target Ann. Vol,Realized / Target Vol
US,Exclude Inflation Rate Shock,Direct Short Variance 10% Vol (High VRP),0.06323941680211109,0.07325593236782986,0.8768322264476835,1.2101970304835716,-0.23464506501608817,0.2695109602998689,-0.012782215903815295,-0.05263641994319981,0.020277793706709835,222.0,5.0,0.05081708321088503,0.05036966742458082,-0.021902768871289266,-0.018541636662317326,222,2007-04-30,2026-07-31,10,222,0.1,0.7325593236782986
US,Exclude All Major Crises,Direct Short Variance 5% Vol,0.07787643464879235,0.0784001073143633,1.002704196691792,1.14368111271083,-0.19994474205385526,0.3894897852718541,-0.013415329332082818,-0.05624837879452148,0.024234764285058497,193.0,5.0,0.06324567455793972,0.05844685921458348,-0.03684627673662731,-0.027485627354666295,193,2007-04-30,2026-07-31,39,193,0.05,1.5680021462872658
US,Exclude All Major Crises,Direct Short Variance 10% Vol,0.15144273945331488,0.1568002146287266,1.002704196691792,1.14368111271083,-0.3977420348062515,0.3807561841611381,-0.026830658664165636,-0.11249675758904296,0.04846952857011699,193.0,5.0,0.09575846498136104,0.011087846655786882,-0.004333486313206,0.005027163068755017,193,2007-04-30,2026-07-31,39,193,0.1,1.5680021462872658
US,Exclude All Major Crises,Direct Short Variance 10% Vol (VRP > 0),0.1260743569441798,0.15466681491406903,0.8686512273739676,0.9819137116804079,-0.3977420348062515,0.3169751897246497,-0.024489357044513934,-0.10995623356099,0.043047690741178965,193.0,5.0,0.07454695951997113,-0.008960906711645289,-0.025544991774595904,-0.016184342392634887,193,2007-04-30,2026-07-31,39,193,0.1,1.5466681491406902
US,Exclude All Major Crises,Direct Short Variance 10% Vol (High VRP),0.08806373603005158,0.06226056850876655,1.3916767024149397,2.373403016712954,-0.13024998250715614,0.6761132273105159,-0.010858350885562626,-0.034059024354472486,0.021372300391381004,193.0,5.0,0.07695563669517265,0.07918855456350316,-0.023136314599394386,-0.01377566521743337,193,2007-04-30,2026-07-31,39,193,0.1,0.6226056850876655
EU,Full Sample,Direct Short Variance 5% Vol,0.0678122136100443,0.056855719238036985,1.1859715834566142,1.6062059908596817,-0.10996122393466923,0.6166920591056104,-0.024743440500115767,-0.045649768651575384,0.027006551171736306,170.0,5.0,0.05934783534811319,0.060419028935721375,0.0471451430524092,0.04436786634099272,170,2011-06-30,2026-07-31,0,170,0.05,1.1371143847607397
EU,Full Sample,Direct Short Variance 10% Vol,0.135973043259211,0.11371143847607397,1.1859715834566142,1.6062059908596817,-0.21360736588724494,0.6365559665717985,-0.04948688100023153,-0.09129953730315077,0.05401310234347261,170.0,5.0,0.10253280664585392,0.10191254887151358,0.09033011435014993,0.08755283763873345,170,2011-06-30,2026-07-31,0,170,0.1,1.1371143847607397
EU,Full Sample,Direct Short Variance 10% Vol (VRP > 0),0.13078430819374431,0.0969590268794511,1.3239358698465213,1.8912768988553412,-0.21360736588724505,0.6122649734034932,-0.036603067304811145,-0.07342976626315853,0.043876925419398465,170.0,5.0,0.10486490135759305,0.10672871500020986,0.09266220906188906,0.08988493235047257,170,2011-06-30,2026-07-31,0,170,0.1,0.9695902687945109
EU,Full Sample,Direct Short Variance 10% Vol (High VRP),0.06433288685606153,0.07644154643360092,0.8573140767359271,1.1709002548109357,-0.16942066701027925,0.37972278111830515,-0.013106418424765898,-0.05319161793953022,0.023289544125737277,170.0,5.0,0.050926138752088165,0.049832432919883596,0.038723446456384175,0.03594616974496769,170,2011-06-30,2026-07-31,0,170,0.1,0.7644154643360092
EU,Exclude Global Financial Crisis,Direct Short Variance 5% Vol,0.0678122136100443,0.056855719238036985,1.1859715834566142,1.6062059908596817,-0.10996122393466923,0.6166920591056104,-0.024743440500115767,-0.045649768651575384,0.027006551171736306,170.0,5.0,0.05934783534811319,0.060419028935721375,0.0471451430524092,0.04436786634099272,170,2011-06-30,2026-07-31,0,170,0.05,1.1371143847607397
